8/6 21:34:19.958  SPELL_DAMAGE,0x00000000000059BA,"Mercykill",0x518,0xF1300EC25600001F,"Dynamic Training Dummy",0xa28,284788,"Absolute Hellfire",0x4,335,0,4,0,0,0,nil,nil,nil
8/6 21:34:19.958  SPELL_DAMAGE,0x00000000000059BA,"Mercykill",0x518,0xF1300EC25600001E,"Dynamic Training Dummy",0xa28,284788,"Absolute Hellfire",0x4,335,0,4,0,0,0,nil,nil,nil
8/6 21:34:19.958  SPELL_DAMAGE,0x00000000000059BA,"Mercykill",0x518,0xF1300EC25600001E,"Dynamic Training Dummy",0xa28,284788,"Absolute Hellfire",0x4,641,0,4,0,0,0,1,nil,nil
8/6 21:34:19.958  SPELL_DAMAGE,0x00000000000059BA,"Mercykill",0x518,0xF1300EC25600001F,"Dynamic Training Dummy",0xa28,284788,"Absolute Hellfire",0x4,641,0,4,0,0,0,1,nil,nil
8/6 21:34:19.958  SPELL_DAMAGE,0x00000000000059BA,"Mercykill",0x518,0xF1300EC25600001E,"Dynamic Training Dummy",0xa28,284788,"Absolute Hellfire",0x4,335,0,4,0,0,0,nil,nil,nil
8/6 21:34:19.958  SPELL_DAMAGE,0x00000000000059BA,"Mercykill",0x518,0xF1300EC25600001F,"Dynamic Training Dummy",0xa28,284788,"Absolute Hellfire",0x4,641,0,4,0,0,0,1,nil,nil
8/6 21:34:19.958  SPELL_DAMAGE,0x00000000000059BA,"Mercykill",0x518,0xF1300EC25600001E,"Dynamic Training Dummy",0xa28,284788,"Absolute Hellfire",0x4,335,0,4,0,0,0,nil,nil,nil
8/6 21:34:19.958  SPELL_DAMAGE,0x00000000000059BA,"Mercykill",0x518,0xF1300EC25600001F,"Dynamic Training Dummy",0xa28,284788,"Absolute Hellfire",0x4,641,0,4,0,0,0,1,nil,nil
8/6 21:34:19.958  SPELL_DAMAGE,0x00000000000059BA,"Mercykill",0x518,0xF1300EC25600001E,"Dynamic Training Dummy",0xa28,284788,"Absolute Hellfire",0x4,641,0,4,0,0,0,1,nil,nil
8/6 21:34:19.958  SWING_DAMAGE,0x0000000000005474,"Siberianwolf",0x518,0xF1300A2D2D00009D,"Azeroth Execute Training Dummy",0x10a28,406,0,1,0,0,0,nil,nil,nil
8/6 21:34:19.958  SPELL_EXTRA_ATTACKS,0x0000000000005474,"Siberianwolf",0x518,0x0000000000005474,"Siberianwolf",0x518,15601,"Hand of Justice",0x1,1
8/6 21:34:19.958  SWING_DAMAGE,0x0000000000005474,"Siberianwolf",0x518,0xF1300A2D2D00009D,"Azeroth Execute Training Dummy",0x10a28,442,0,1,0,0,0,nil,nil,nil
8/6 21:34:19.958  SPELL_AURA_REMOVED,0x0000000000005474,"Siberianwolf",0x518,0x0000000000005474,"Siberianwolf",0x518,16278,"Flurry",0x1,BUFF
8/6 21:34:19.958  SPELL_PERIODIC_HEAL,0x0000000000005474,"Siberianwolf",0x518,0x0000000000005474,"Siberianwolf",0x518,50475,"Blood Presence",0x1,19,19,0,nil
